Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time,Crop_w_score
Gerbera,caterpillar,MAHARASHTRA,CATERPILAR IN GRABERASPRAY QUINALPHUS 2 ML PER 1 LTR WATER,RECOMMENDED TO SPRAY CHLORPYRIFOS 25 ML 1 LIT WATER,Recommended for spray Profenophos 40  40 ml pump,Spray Chlorpyrifos 30ml15 Liter of Water,Spray Proclaim 5gm15lit of Water,0.457269,1.9316100007305205e-05
Gerbera,chewing pest,ODISHA,SPRAY CHLOROPYRIFOS  2ML1LIT WATER FOR CHEWING PEST IN FLOWERING CROP,No answer,No answer,No answer,No answer,0.532231,1.9316100007305205e-05
Ginger,blight,MAHARASHTRA,you can spray   antracol 25 gram 130045 for 100 gram isabion 40 mili pamp water use for ginger crop,RECOMMENDED TO SPRAY COPPER OXYCHLORIDE  600  GM 200 LITRES OF WATER  ACRE     600     200         ,recomended to spray copper oxychloride or mancozeb 3gmliter water to controll leaf blight in ginger,for control of blight on ginger Spray Cabriotop 45 gm15 Liter of Watermetiram (dithiocarbamate)Basf,control mites and blight in ginger is spray malatheyan  10ml  indofil m45  25gram10 litre of water,3.598072,0.0007647505841792033
Ginger,caterpillar,MAHARASHTRA,Advised to spray Quinalphos 25EC 30ml15 liter of water to control leaf eating caterpillar in ginger,For control of caterpillar on ginger Spray Proclaim 5 gm 15 lit of Water (Emamectin Benzoate 5 SG),Spray Chloropyriphos 30Ml  Humic Acid 30ml 15 Lit Of WaterHumic Acid 30ml15 Lit of Water Drenching,Spray Chloropyriphos 30ml15 Liter of WaterSpray Bavistane 30 gm15 Liter of Water(Carbandazin)Basf,Recommended for to control caterpillar in ginger crop spray to Emamectin benzoate 5  78 grampump,6.13087,0.0007647505841792033
Ginger,drenching,MAHARASHTRA,DRENCHING DRENCHING OF BLUE COPPER 40 GM  HUMIC ACID 30 ML 15 LITER WATER      40     30  15   ,drenching of humic acid 30ml  redomilgold 30 gm  Microlla 30 ml  19 19 19 60 gm 15lit of water,drenching for ginger drenching with humic acid 350ml bavisitin 500gmacre by drip irrigation,Drenching for ginger crop   Redomil Gold 30 gmhumic Acid 30 ml(Mephonaxonmancozeb)syngnt,Copper oxychloride 30gm  Chloropyriphos 30ml  Humic Acid 30ml15 Liter of Water Drenching,5.179443,0.0007647505841792033
Ginger,rust,MAHARASHTRA,SPRAY METALAXYL  MANCOZEB (TATA MASTER)  35GM15LIT WATER FOR LEAF RUST IN GINGER,SPRAY METALAXYL  MANCOZEB(TATA MASTER )  45GM15LIT WATER FOR LEAF RUST IN GINGER,SPRAY METALAXYL  MANCOZEB (TATA MASTER)  40GM15LIT WATER FOR LEAF RUST IN GINGER,Spray Antracol 30 gm15 Liter of Water (Propineb 70  WP) BAYER CROP SCIENCE,Spray  of  Carbendazim 12  Mancozeb 63 WP (Saaf  or  sixer)   35 g pump,2.902812,0.0007647505841792033
Ginger,fungus,HARYANA,for control of fungus in ginger Drenching Redomild gold 30 gm   Humic acid 30 ml in 15 lit of water,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,drenching blue copper 30gm  humic acid 30ml  15 liter of water for controlling wilt in tomato,drenching blue copper 30gm  humic acid 30ml  15 liter of water for controlling wilt in tomato,BLUE COPPER  HALF KG  MICROLLA 1 LIT  HUMIC ACID 1 LIT  191919 2 KG ACRE THROUGH  DRIP,3.727408,0.0007647505841792033
Grape,fruit fly,PUNJAB,Spray Quinalphos25 EC or Malathion 50EC 1ml in 1litre water,SPRAY TO MALATHION  2ML IN 1 LITER OF WATER  SOLUTION ,SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER,recommended to spray malathion 400milliacre,SPRAY Malathion 2MLLITER OF WATER,2.913806,0.0003350147954115724
Grape,blight,MAHARASHTRA,SPRAY AVTAR 30 GM Spray m45 30 gm  15 LITERS OF WATER (Zineb 68  Hexaconazol 4 WP) INDOFIL,Recommended for Leaf Blight in grapes spray mancozeb  carbendazim (SAAF)25gmlit of water,Control blight in graps are spray indofil m45  25gm  bavistin  10gm10 litre of water,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER,blight in grape  Spray Cabriotop 10 gm15 Liter of Watermetiram (dithiocarbamate)Basf,1.5403799999999999,0.0003350147954115724
Grape,mildew,MAHARASHTRA,RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 2GM PER LITRE OF WATER TO CONTROL THE DOWNY MILDEW IN GRAPE,240624062406240624112406 23612375 23572367234223812352235723812351 23262340 23572366234623522366 ,234023692350238123612368 235023752354237923372368 23302368 234723572366235223392368 232523522366,Downy mildew Plasmopara viticola IN GRAPES Spray Bordeaux mixture 1  or Metalaxyl  Mancozeb 04 ,23602354238123472352 2346236623572337235223302368 234323692352235523392368 23252352236623572368,1.516518,0.0003350147954115724
Grape,Anthracnose,RAJASTHAN,c)Fosetyl Al 80  20 gd)Propineb 70 WP 10 ge)Dimethomarph 50 WP 10 gf)Phenomidone  Mancozeb 10 g,Anthracnose management in grapesb)Azaxyl Strobin (Amistar) 25 gc)Fosetyl Al 80  20 g,mix and spray fenamidon (2gm)  mancozeb (2gm) ltr of water and spray 1015 days once,RECOMMENDED TO SPRAY CARBENDAZIM (BAVISTIN DEROSAL CARBENDAZIM) 200 GRAMS PER ACRE,RECOMMENDED TO SPRAY CARBENDAZIM (BAVISTIN DEROSAL CARBENDAZIM) 200 GRAMS PER ACRE,2.393941,0.0003350147954115724
Grape,mealybug,TAMILNADU,To control of mealybug in grapes spray 5 ml DurmetDursban(chlorpyriphos) per litter water,spray varticilium laccani 40 ml  15 litter of water for controlling  mealybug on grapes,DICHLOROVAS (NUVAN DOOM FUME LAVA) 250 ML PER  ACRE,MEALYBUG ATTACKUSE ADMIRE FROM DRIP 300 GRAAM  EKAR,SPARY IMIDACLOPRID 025 ML PRE LIT OF WATER,1.948246,0.0003350147954115724
Green Gram (Moong Bean Moong),aphids,MAHARASHTRA,Aphids on green gramSpray super confidor 10 ml  bavistin 30 gm 15 liter of water(Imida 178 sl)Bayer,Recommended to spray Dimethoate 30 EC(Rogor) 2ml per litre of water to control Aphids in Green Gram,RECOMMENDED TO SPRAY DIMETHOATE 30 EC(ROGOR) 2 ML PER 1 LITRE WATER TO CONTROL APHIDS IN GREEN GRAM,Recommended to spray Dimethoate 30 EC(Rogor) 2ml per litre of water to control Aphids in Green Gram,Recommended to spray Dimethoate 30 EC(Rogor) 2ml per litre of water to control Aphids in Green Gram,18.460493,0.0038713031631536854
Green Gram (Moong Bean Moong),blight,MAHARASHTRA,BACTERIAL LEAF BLIGHT IN MOONGSPRAY COPPER OXY CHLORIDE 3GM WITH 1GM PLANTOMYCIN IN 1LITRE OF WATER,recommended to spray ridomil gold 2 g  plantomycin 1 g in 1 lit water for leaf blight in green gram,BACTERIAL LEAF BLIGHT IN GREEN GRAM SPRAY COPPER OXYCHLORIDE 3GM  PLANTOMYCIN 1GM PER 1 LITRE WATER,APPLY TEBUCONAZOLE  TRIFLOXYSTORBIN (NATIVO)  20 GM  15 LITER OF WATER FOR ROOT ROT AND LEAF BLIGHT,RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 3GM1 LITRE WATER TO CONTROL BACTERIAL BLIGHT IN GREEN GRAM,18.89625,0.0038713031631536854
Green Gram (Moong Bean Moong),caterpillar,MADHYA PRADESH,Recommended to spray Chloropyriphos 20 EC 2ml per litre of water to control Leaf eating caterpillar,Spray recommended control measures of caterpillars in moong crop dose of Troijofos 40 EC 1000 Mlhac,Attack of Caterpillar on green gram Spray Proclaim 5ml15 liter of Water(Emamectin Benzoate)Syngenta,RECOMENDED TO SPRAY CHLOROPYRIPHOS 20EC 2MLLITER WATER TO CONTROLL LEAF EATING CATERPILLAR IN MOONG,RECOMMENDED SPRAY QUINALPHOS 25EC(KINALUX) 30ML15LTR WATER FOR LEAF EATING CATERPILAR IN GREEN GRAM,31.014215999999998,0.0038713031631536854
Green Gram (Moong Bean Moong),white fly,MADHYA PRADESH,RECOMMENDED TO SPRAY MONOCROTOPHOS(NUVACRON PHOSKIL LUPHOS) 300 ML PER ACRE     (  )  400  200     ,RECOMMENDED TO SPRAY MONOCROTOPHOS (NUVACRON) 320 ML 200 LITRES OF WATER ACRE   320    200         ,Spray Dimethoate 30EC (Rogar) 40 ml per pumpSpray Daiphenthuran (Pegasas) 10 to 15 gram at per pump,RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  200 LITRES OF WATER ACRE    40     200         ,Recommended to spray Methyl demeton 25 EC 2ml per litre of water to control White fly in Green Gram,43.974598,0.0038713031631536854
Green Gram (Moong Bean Moong),sucking pest,MADHYA PRADESH,Recommended for spray Imidacloprid( confidor) 178  SL  1012 ml pump Chlorpyriphos 20 ec 2530 mlpump,Recommended for to control sucking pest in garlic crop spray fipronil 25 30 ml at 15 liter of water,Recommended for spray Imidacloprid( confidor) 178  SL  1012 ml pump Chlorpyriphos 20 ec 2530 mlpump,Recommended for spray Imidacloprid( confidor) 178  SL  1012 ml pump Chlorpyriphos 20 ec 2530 mlpump,Recommended for spray Imidacloprid( confidor) 178  SL  1012 ml pump Chlorpyriphos 20 ec 2530 mlpump,55.009969999999996,0.0038713031631536854
Groundnut (pea nutmung phalli),caterpillar,ANDHRA PRADESH,tobacco caterpillar management  RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML200 LITRES OF WATER  ACRE,GROUND NUT CATERPILLAR MANAGEMENT  RECOMMENDED TO SPRAY THIODICARB 300 GR 200 LITERS OF WATER  ACRE,23252381235723672344237923542381234723792360 23302368 234723572366235223392368 23252352236623572368,RECOMMENDED TO SPRAY FLUBENDIAMIDE  (FAME) 40 ML 200 LITRES OF WATER  ACRE     40     200          ,Recommended for to control caterpillar in groundnut crop spray to Emamectin benzoate 5  78 grampump,33.804953000000005,0.0043742048474303226
Groundnut (pea nutmung phalli),termite,GUJARAT,         (  )                                                                                      ,RECOMMENDED TO SPRAY CHLOROPYRIPHOS  20EC 2ML PER  1LITRE OF WATER TO CONTROL TERMITES IN GROUNDNUT,Recommended to spray Chloropyriphos 15  DP  10 kg per acre to control  termite problem in groundnut,Kisan bhai deemak se bachav ke liye chloripyriphos 20  EC  1 litar  acre pani me gholkar spre kare,control termite in ground nut cropbroadcast to chlorpyriphos  2 litre mixed in  25 kg dry sendacre,23.217879999999997,0.0043742048474303226
Groundnut (pea nutmung phalli),root rot,ANDHRA PRADESH,GROUNDNUT ROOT ROT MANAGEMENTRECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITER OF WATER,groundnut root rot managementRECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATIONUSE  Fipronil 03 GR 1215 KG PER HA,groundnut root rot managementRECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER,RECOMMENDED TO SPRAY COPPER OXYCHLORIDE  600  GM 200 LITRES OF WATER  ACRE     600     200         ,39.412835,0.0043742048474303226
Groundnut (pea nutmung phalli),white grub,GUJARAT,FIPROLIN 5  2 LITER   IMIDACHLOPRID 178 SL 1 LIT PER  HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB,RECOMMENDED TO DRENCH CHLORPYRIPHOS 20 EC 2ML1 LITER OF WATER OR APPLY CARBOFURAN 3G 12KG PER 1 AC,THE WHITE GRUB ATTACKAPPLICATION OF FERTERRA 7 KG  ACRE (Chlorantraniliprole 04 GR)(DUPONT INDIA),WHITE GRUB IN GROUNDNUT RECOMMENDED TO SPRAY CHLORPYRIPHOS 2ML PER LITER WATER IN ROOTS OF PLANTS,RECOMMENDED APPLY CARBOFURAN 3G 12KGACRE OR CHLOROPYRIPHOS DUST 5KGACRE FOR GROUNDNUT WHITE GRUB,50.457338,0.0043742048474303226
Groundnut (pea nutmung phalli),termite,RAJASTHAN,         (  )                                                                                      ,RECOMMENDED TO SPRAY CHLOROPYRIPHOS  20EC 2ML PER  1LITRE OF WATER TO CONTROL TERMITES IN GROUNDNUT,Recommended to spray Chloropyriphos 15  DP  10 kg per acre to control  termite problem in groundnut,Kisan bhai deemak se bachav ke liye chloripyriphos 20  EC  1 litar  acre pani me gholkar spre kare,control termite in ground nut cropbroadcast to chlorpyriphos  2 litre mixed in  25 kg dry sendacre,23.233404,0.0043742048474303226
Guar,wilt,RAJASTHAN,spray to streptrocychilin  30 gm  200 gm copper oxi chiloride in 250 liter of water  acre ,Spray Redomil Gold 30gm  19 19 19 60 gm  Humic Acid 30ml15 Lit of Water Drenching,control of willt in gwar crop  spray bavistin  400 gm in 200 litre of wateracre,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,6.341044999999999,0.0017765499130490883
Guar,yellowing,RAJASTHAN,SPRAY OF MULTIPLAX  60 GM PER  TANKI (15 LITER WATER)  SPRAY OF TRIZOPHOS 40 EC 2ML PAR LITAR WATER,EMIDACLOPRID 178 05MLLIETR CUPER OXY CLORIDE 3GRAMLITER AND STREPTOCYCLEN 2 GRAM16LITER WATER SPRAY,SPRAY SOLUBLE NPK  181818 GRADE 10 GMLTR WATER SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM  PER LITER WATER FOR YELLOWING MANAGEMENT IN MOONG,SPRAY OF TRIZOPHOS 40 EC 2ML PAR LITAR WATERSPRAY OF MULTIPLAX  60 GM PER  TANKI (15 LITER WATER),11.843655,0.0017765499130490883
Guar,blight,RAJASTHAN,   45    15     15        SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,SPRAY OF DIMETHOATE 30 EC 30 ML  COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER TANKI (15 LITER),SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM  DIMETHOATE 30 EC 30 ML PER TANKI (15 LITER),EMIDACLOPRID 17805MLLIETR CUPER OXY CLORIDE 3GRAMLITER AND STREPTOCYCLEN 2 GRAM16LITER WATER SPRAY,SPRAY 200 GRAM BLITOX  6 GRAM STREPTOCYCLINE IN 100 LITRE OF WATER PER ACRE REPEAT AFTER 1012 DAYS,7.9145270000000005,0.0017765499130490883
Guar,fungus,HARYANA,FUNGUS CONTROL IN GWAR SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER TANKI (15 LITER),SPRAY OF CARBENDAZIM 2GM PAR LITAR WATER AND SPRAY OF IMIDACHLOPRID 178 SL  05 ML PER LITER WATER,SPRAY OF IMIDACLOPRID 178  5ML PAR LITAR WATERSPRAY OF CARBENDAZIM  MANCIJAB 2GM PAR LITAR WATER,SPRAY OF IMIDACLOPRID 178  5ML PAR LITAR WATERSPRAY OF CARBENDAZIM  MANCIJAB 2GM PAR LITAR WATER,SPRAY OF CARBENDAZIM  MANCIJAB 2GM PAR LITAR WATERSPRAY OF IMIDACLOPRID 178  5ML PAR LITAR WATER,8.524185000000001,0.0017765499130490883
Guar,sucking pest,RAJASTHAN,TELL ME ABOUT SUCKIN PEST CONTROL IN USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE,Suggested Mancozeb (M45) 75 WP 35 grampump spray Suggested Profenofos 50 EC 25 mlpump spray,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATERSPRAY OF ACIFET MANCOZEB 2 GRAM PER LIT WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATERSPRAY OF ACIFET MANCOZEB 2 GRAM PER LIT WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER SPRAY OF MICRONUTRIENT 4 GM PER LITER WATER,25.689967000000003,0.0017765499130490883
Guava,mealybug,UTTAR PRADESH,Recommended for spray profenophos 1ml acephate 2gm teepol 05ml neemoil 3mllit of water,Recommended for spray profenophos 1ml acephate 2gm teepol 05ml neemoil 3mllit of water,Recommended for spray Imidachlopirid 1 ml  neem oil 3 ml  teepol 1 ml 1 litre of water,Recommended for spray profenophos 1ml acephate 2gm teepol 05ml neemoil 3mllit of water,Recommended for spray profenophos 1ml acephate 2gm teepol 05ml neemoil 3mllit of water,7.593214,0.0012484120666803916
Guava,wilt,RAJASTHAN,recommended for soil drenching with copper oxy chloride at the rate of 25 gram in 1 litre of water,APPLY CHLOROPHYRIPHOS  2 ML PER LITRE WATER AFTER THAT 7 DAYS APPLY BAVASTIN  1GM PER LITRE WATER,use 200 gram copper salfet  50 gram zink salfet  50 gram salfar  50 gram magnicium salfet plant,recommended for to drentch the soil with carbendizm 1 gram or coper oxy chloride 3 gliter water,recommended for apply Pseudomonas fluorescence 20 g  Trichoderma viride 20 g  Cowdung 5 kg tree,4.512436,0.0012484120666803916
Guava,fruit rot,WEST BENGAL,APPLICATION OF FUNGICIDE Bordeaux mixture  04(2G L) or Copper oxychloride  02 (3 G L ) Zineb  02,SPRAY MALATHION 50 EC  1 ML LITRE OF WATERCARBENDAZIM 2 GM  LITREV OF WATRE ATB PEA SIZES STAGE,Recommended to spray Carbendazim 50 WP 1gm per litre of water to control Fruit rot in Guava,Kisan bhai ap amrood ke ped par Copper Oxychloride 50 WP  25 gramlitr ki dar se spray kare,FOR CONTROL OF FRUIT ROT OF GUAVA AFTER PRUNING SPRAY 300 GRAM BLITOX IN 100 LITER WATER,13.406179000000002,0.0012484120666803916
Guava,canker,DELHI,RECOMMENDED FOR SPRAY STREPTOCYCLINE 91 SP ( 9010 SP)  1 GM  10 LIT OF WATER,RECOMMENDED FOR SPRAY STREPTOCYCLINE 91 SP ( 9010 SP)  1 GM  10 LIT OF WATER,RECOMMENDED FOR SPRAY STREPTOCYCLINE 91 SP ( 9010 SP)  1 GM  10 LIT OF WATER,RECOMMENDED FOR SPRAY STREPTOCYCLINE 91 SP ( 9010 SP)  1 GM  10 LIT OF WATER,RECOMMENDED FOR SPRAY MANCOZEB 3GML OF WATER FOR CANCKER DISEASES IN GUAVA,6.136429,0.0012484120666803916
Guava,dieback,RAJASTHAN,Tricoderma powder (100 gm  tree) mixed with goosemixed or soaked in boondo mixture (1) solution,     Copper oxychloride 50 WP  3              streptocycline  1     10            ,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,CUTTING TO ALL DRY BRANCH AFTER SPRAY OF COPPER OXICALORIDE 3GMLIT WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,6.853028,0.0012484120666803916
Hazlenut,fungus,GUJARAT,No answer,No answer,No answer,No answer,No answer,0.32965,0.0
Hazlenut,thrips,RAJASTHAN,SPRAY OF ACETAMIPRID 20 SP 05 GM PER LITER WATER,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER, 75    2              3         ,No answer,No answer,0.340832,4.32619921578152e-06
Hazlenut,blight,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.33089,0.0
Hazlenut,leaf blister,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.36601999999999996,0.0
Hazlenut,Anthracnose,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.34820300000000004,0.0
Indian Squash (TindaRound Melon),blight,RAJASTHAN,How to control Early Blight in Indian SquashSpray 400 gm Mencozeb in 200 lt of water per acre,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER SPRAY OF MENCOJEB 2GM PAR LITAR WATER,How to control Early Blight in TINDASpray 400 gm M45 in 200 lt of water per acre,How to control Early Blight in tindaSpray 400 gm M45 in 200 lt of water per acre,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,0.9418219999999999,0.00013380858276180384
Indian Squash (TindaRound Melon),sucking pest,MAHARASHTRA,SUCKING PEST TINDA Spray Confidor 15 ml Super Confidor 10 ml 15 litar water (Imidacloprid 178 ),Lancer Gold 518 SP 30 GM m 45 30 gm15 LITERS OF WATER (Acephate 50  Imidacloprid 18 SP) UPL,Sucking Pest on tindaSpray Confidor super  Confidor 10ml  bavistin 30gm15 Lit of Water,Sucking Pest on tindaSpray Confidor super  Confidor 10ml  bavistin 30gm15 Lit of Water,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER  SPRAY MENCOJEB 2GM PAR LITAR WATER,2.2252389999999997,0.00013380858276180384
Indian Squash (TindaRound Melon),brown spot,PUNJAB,No answer,No answer,No answer,No answer,No answer,1.9607689999999998,0.0
Indian Squash (TindaRound Melon),fungus,RAJASTHAN,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER  SPRAY OF HEXACONAZOLE 5 EC 2 ML PER LITER WATER,How to control fungul disease in tinda spray 400 gm saaf OR m45 or bavsteen in 200 lt wateracre,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER,SPRAY OF ACEPHATE 75 SP 2 GM  MENCOJEB 2GM PAR LITAR WATERTELL ME PEST AND FUNGAS CONTROL,0.934327,0.00013380858276180384
Indian Squash (TindaRound Melon),leaf spot,MAHARASHTRA,spray SAAF ( carbrndazim  mancozeb ) 2 gm  liter of water for leaf spot in indian squash,Metalaxyl8  Mancozeb64 WP  300500 gmacre     Imidachloprid 178 SL  7010 ml acre,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,SPRAY COPPEROXYCHLORID 4 GMLIT OF WATER OR MANCOZEB 25 GMLIT OF WATER,RECOMMENDED FOR SPRAY COPPER OXYCHLORIDE 50 WP   4 GM  LIT OF WATER,1.797739,0.00013380858276180384
Indian rapeseed and mustard (yellow sarson),fungus,ANDHRA PRADESH,Suggested Carbendazim (Bavistin) 50 WP 30 grampump drenching OR 250 gramvigha water treatment,Suggested CoperOxichloride  50 WP  40 grampump drenching OR 250 gramvigha water treatment,Metalaxyl 8 Mancozeb 64 WP  2gmliter paani me mila kar spray kare,spray carbendazim 12 mancozeb 63  23gmlit of water,suggestcarbendesim 15 gmpump water and drenching,0.99224,0.00015771652579638592
Indian rapeseed and mustard (yellow sarson),blight,UTTAR PRADESH, On incidence of disease spray with Indofil M45 or Captan  260gm100Ltr of water per acre,FOR THE CONTROL OF BLIGHT IN MUSTARD CROPPLS SPRAY 300 GM BLITOX IN 200 LITRE WATERACRE,alternaria blight in sarson spray blitox or indofil m45 250 gram in 100 litres of water,RECOMMENDED FOR SPRAY  METALAXYL 8  MANCOZEB 64  (72 WP)  25 GM   LIT OF WATER,Spray Indofil M45 200gram100 liter water for control blight in musterd crop,0.9947360000000001,0.00015771652579638592
Indian rapeseed and mustard (yellow sarson),damping off,BIHAR,SPRAY CARBENDAZIM 50 WP  1 GM PER LITRE OF WATER,No answer,No answer,No answer,No answer,2.189883,0.00015771652579638592
Indian rapeseed and mustard (yellow sarson),rust,UTTAR PRADESH,Spray  copperoxycloride 50 wp  23gramlit of wateror metalaxil 2 gram litr water,                             75  WP   400           200             ,                              I     22       13        15     I,spray M45 or Blitox  250 gram in 100 liter of water in one acre,spray of anti fungal sulphar  250 gm in 120 litre of wateracre,0.804802,0.00015771652579638592
Indian rapeseed and mustard (yellow sarson),black rot,RAJASTHAN,BLACK ROT CONTROL IN GROUNDNUT USE TRIGODRAMA 25 KG WITH 100 KG FYM  PER BIGHA,APPLIED BAVISTIN 250 GM BIGHA  WITH IRRIGATION WATER,CARBENDAZIM 250 GRAM  BIGA WITH IRRIGATION WATER,CARBENDAZIM 250 GRAM  BIGA WITH IRRIGATION WATER,DRENCHING OF CARBENDAZIM 250 GM PER BHIGA,1.855702,0.00015771652579638592
Jack Fruit,fruit rot,CHHATTISGARH,fruit rot in jackfruit recommended to spray mancozeb 3g in 1 litre water 2 times in 10days interval,RECOMMENDEED TO SPRAY COPPER OXYCHLORIDE 3GM1 LITER OF WATER OR PROPICONAZOLE 2ML1 LITER OF WATER,SPRAY COPPER OXYCHLORIDE  2GM PLANTOMYCIN  1GM1 LITRE OF WATER TO CONTROL FRUIT ROT IN JACK FRUIT,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS  200 LITRES OF WATER ACRE     200     200         ,RECOMMENDED TO SPRAY CARBENDAZIM 50WP  3GM PER LITRE OF WATER TO CONTROL FRUIT ROT IN JACK FRUIT,7.298361999999999,0.0006441103446443836
Jack Fruit,dieback,BIHAR,CUTTING  PRINNING PLANT DRY PLANT PART AFTER SPRAY OF COPPER OXICALORIDE 3GMLIT WATER,RECOMMENDED TO SPRAY CARBENDAZIM  1 GM  LITRE WATER TO CONTROL DIEBACK IN JACK FRUIT,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,Chlorothalonil 2 gram liter pani ke hisab se ghol banaa kar spre kren,3.8686480000000003,0.0006441103446443836
Jack Fruit,rust,JHARKAND,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,copper oxychloride 25 glitar paani ke sath chidkav kare,use borex powder  10 gm 5 lit of water in root zone,Copper Oxychloride 25 gramliter me pryog kare,Copper Oxychloride 25 gramacre me pryog kare,2.588491,0.0006441103446443836
Jack Fruit,leaf spot,MADHYA PRADESH,JACK FRUIT LEAF SPOT MANAGEMENT  RECOMMENDED FOR SPRAY MANCOZEB 3 GRAMS 1 LITER OF WATER,RECOMMENDED TO SPRAY MANCOZEB 75WP 3GM1 LITRE WATER TO CONTROL LEAF SPOT IN JACKFRUIT,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM 200 LITRES OF WATER  ACRE,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS  200 LITRES OF WATER ACRE,leaf spot disease in jack fruit SPRAY COPPEROXYCLORIDE  2ML IN 1 LITRE,7.627853,0.0006441103446443836
Jack Fruit,pink,UTTAR PRADESH,Apply Copper oxychloride (3glitre) after rainy season,No answer,No answer,No answer,No answer,2.582437,0.0006441103446443836
Jamun,sucking pest,MAHARASHTRA,recommended for the spray of neem oil 3 ml  teepol 1 ml in 1 litre of water,Bifenthrin 10 EC  2 mililiter pani ki dar se ghol bnakar spre kare,spray chloropyriphos 20 (2 ml)liter of water on jamun plant,Recommended for spray Acetamiprid 2 gram 10 litre of water,RECOMMENDED TO SPRAY  FIPRONIL  400 ML 150 LITRES OF WATER,1.7710439999999998,0.00010219696919385642
Jamun,leaf spot,RAJASTHAN,jamun leaf spot management  recommended for mancozeb 3 grams 1 litre of water,SPRAY Dithane Z 78  2 GRAM IN PER LITER OF WATER,RECOMMENDED SPRAY CARBENDIZIUM 1GML OF WATER,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER,SPRAY MANCOZEB 75WP  25 GM LIT OF WATER,1.447804,0.00010219696919385642
