Crop,Problem,State,Ans1,Ans2,Ans3,Ans4,Ans5,Time
Indian Squash (TindaRound Melon),brown spot,PUNJAB,No answer,No answer,No answer,No answer,No answer,0.467032
Indian Squash (TindaRound Melon),fungus,RAJASTHAN,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER  SPRAY OF HEXACONAZOLE 5 EC 2 ML PER LITER WATER,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER,SPRAY OF ACEPHATE 75 SP 2 GM  MENCOJEB 2GM PAR LITAR WATERTELL ME PEST AND FUNGAS CONTROL,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER  SPRAY OF MENCOJEB 2GM PAR LITAR WATER,0.797179
Indian Squash (TindaRound Melon),leaf spot,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.528203
Indian rapeseed and mustard (yellow sarson),fungus,ANDHRA PRADESH,No answer,No answer,No answer,No answer,No answer,0.341097
Indian rapeseed and mustard (yellow sarson),blight,UTTAR PRADESH,Mancozeb 75 WP  400600 gramacre,No answer,No answer,No answer,No answer,0.625843
Indian rapeseed and mustard (yellow sarson),damping off,BIHAR,SPRAY CARBENDAZIM 50 WP  1 GM PER LITRE OF WATER,No answer,No answer,No answer,No answer,0.38684
Indian rapeseed and mustard (yellow sarson),rust,UTTAR PRADESH,Spray  copperoxycloride 50 wp  23gramlit of wateror metalaxil 2 gram litr water,                             75  WP   400           200             ,SPRAY OF SULPGHUR 802 GRAM LITER CARBENDAZIM 50WP2 GRAM LITER,Spray the Mancozeb 75 WP 500gmacre in 200 liters of water,SPRAY OF Carbendazim 12  Mancozeb 63 WP400 GRAM ACRE,0.579876
Indian rapeseed and mustard (yellow sarson),black rot,RAJASTHAN,BLACK ROT CONTROL IN GROUNDNUT USE TRIGODRAMA 25 KG WITH 100 KG FYM  PER BIGHA,APPLIED BAVISTIN 250 GM BIGHA  WITH IRRIGATION WATER,CARBENDAZIM 250 GRAM  BIGA WITH IRRIGATION WATER,CARBENDAZIM 250 GRAM  BIGA WITH IRRIGATION WATER,DRENCHING OF CARBENDAZIM 250 GM PER BHIGA,0.850838
Jack Fruit,fruit rot,CHHATTISGARH,For the control of jack fruit rot spray of the copper oxychloride  25 gram per liter of water,                            16  18                                     15     240           ,                            16  18                                     15     240           ,Recommended for spray  HEXACONAZOL 30 ML and  steptrocyclin 1 gram at 15 liter of water,spray copper oxychloride 25 glitre of water to control fruit rot in jack fruit ,0.578884
Jack Fruit,dieback,BIHAR,No answer,No answer,No answer,No answer,No answer,0.584093
Jack Fruit,rust,JHARKAND,No answer,No answer,No answer,No answer,No answer,0.34578
Jack Fruit,leaf spot,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,2.00817
Jack Fruit,pink,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,1.134056
Jamun,sucking pest,MAHARASHTRA,Spray Confidor super  Confidor 6ml15 Lit of Water,Spray Karate10ml15 Lit of Water,   10       (   ) , 8   15   ,No answer,0.474431
Jamun,leaf spot,RAJASTHAN,SPRAY Dithane Z 78  2 GRAM IN PER LITER OF WATER,SPRAY OF MENCOZEB 2 GM PER LITER WATER,SPRAY OF MENCOJEB 2GM PER LITER WATER,No answer,No answer,0.678457
Jamun,fungus,PUNJAB,SPRAY BLITOX  25gm PER LITER OF WATER FOR THE CONTROL OF FUNGUS IN JAMUN ,spray blitox  25gm  liter of water for the control of fungus in jamun ,SPRAY BLITOX  25GM  LITER OF WATER ,SPRAY BLITOX  2ML  LITER OF WATER ,No answer,0.374529
Jamun,termites,HARYANA,Information regarding how to control termite in jamun plant apply to chlorpyriphos  20 mlplant,Information regarding hw to cntrol termite in jamun plant apply to chlorpyriphos  15 mlplant,Control of termites in fruit plant 4050 ml chloropyriphos in 5 liter water  plant ,Control of termites in fruit plant 4050 ml chloropyriphos in 5 liter water  plant ,Control of termites in fruit plant 4050 ml chloropyriphos in 5 liter water  plant ,0.517921
Jamun,catterpillar,RAJASTHAN,SPRAY OF PROFENOFOS 15 ML PER LITER WATER,No answer,No answer,No answer,No answer,0.618407
Jojoba,downy blight,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.421669
Jojoba,catterpillar,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.45718
Jojoba,leaf blight,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.458386
Jojoba,mildew,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.417363
Jojoba,leaf rust,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.461755
Jute,caterpillar,WEST BENGAL,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,RECOMMENDED FOR SPRAY CHLORPYRIPHOS 50  CYPERMETHRIN 5 (55 EC)   15 ML  LIT OF WATER,0.992231
Jute,aphid,UTTAR PRADESH,spray of daifenthuraan 50  wp  2 gram per liter of water,No answer,No answer,No answer,No answer,0.44261
Jute,fungus,BIHAR,Spray carbendazym  25 gram in 1 litre of water,SPRAY COPPER OXY CHLORIDE 2 GRAMLITRE OF WATER,Spray Copper oxy chloride  2 gm  lit of water,SPRAY COPPEROXYCHOLORIDE  2 GM  LIT OF WATER,chloropyriphos  2025 kg h me bhurkao kare,0.368394
Jute,mite,GUJARAT,ethion 30 mlpump,No answer,No answer,No answer,No answer,0.342963
Jute,caterpillar,BIHAR,clorypiyriphos  2 mlliter pani me mila kar spray kare,Spray dimethoate 30 ec  2 gram in 3  litre of water,spray imidachloroprid 1ml3lit of water in jute,Spray cloropyriphos  2 ml in 1 litre of water,Spray Chlorpyrifos  2 ml in 1 litre of water,0.386012
Kiwi Fruit,termite,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.408802
Kiwi Fruit,fruit rot,ANDHRA PRADESH,No answer,No answer,No answer,No answer,No answer,0.335594
Kiwi Fruit,sucking pest,DELHI,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,No answer,No answer,No answer,No answer,0.316903
Kiwi Fruit,mealybug,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.460366
Kiwi Fruit,leaf spot,DELHI,No answer,No answer,No answer,No answer,No answer,0.30931
Kokum,leaf spot,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.414167
Kokum,root rot,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.393756
Kokum,caterpillar,KERALA,No answer,No answer,No answer,No answer,No answer,0.320968
Kokum,leaf spot,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.397329
Kokum,root rot,RAJASTHAN,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION,USE CARBENDAZIM 250 GM PER BIGHA FOR ROOT ROT,No answer,No answer,No answer,0.401932
Lahsoda,leaf spot,RAJASTHAN,SPRAY MANCOZEB 75 WP  2 GMLTR WATER,No answer,No answer,No answer,No answer,0.80025
Lahsoda,canker,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.573079
Lahsoda,fungus,RAJASTHAN,SPRAY OF ACEPHATE 75 SP 2 GM  MENCOJEB 2GM PAR LITAR WATERTELL ME PEST AND FUNGAS CONTROL IN,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER  MENCOJEB 2GM PAR LITAR WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER,0.574831
Lahsoda,termite,RAJASTHAN,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE,USE IMIDACHLOPRID 178 SL 05 ML PER LITER WATER IN ROOT ZONE,USE CHLOROPYRIFOS 20 EC 2 ML PER LITER WATER IN ROOT ZONE,0.595372
Lahsoda,root rot,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.45246
Large Cardamom,rhizome rot,WEST BENGAL,Recommended for drench nursery with 1 lit of Formaldehyde in 50 lit water for 3 sqm before sowing,No answer,No answer,No answer,No answer,0.363877
Large Cardamom,blight,WEST BENGAL,No answer,No answer,No answer,No answer,No answer,0.346165
Large Cardamom,chirkey,SIKKIM,No answer,No answer,No answer,No answer,No answer,0.32161
Large Cardamom,blight,WEST BENGAL,No answer,No answer,No answer,No answer,No answer,0.356412
Large Cardamom,caterpillar,SIKKIM,No answer,No answer,No answer,No answer,No answer,0.327213
Lemon,blight,RAJASTHAN,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER,SPRAY OF COPPER OXYCHLORIDE 45gm  SPRAY OF STREPTOCYCLIN 2 GM 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER TANKI (15 LITER),SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER ,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,2.673064
Lemon,sucking pest,KARNATAKA,sucking pest  When infestation occurs spary 20 ml Quinolphos 25 EC in a lit water,asked about lemon sucking pest controlrecommended confidor 05 ml per liter,LEMON SUCKING PEST MANAGEMENT   SPRAY IMIDACHLOPRID 03MLL OF WATER,Lemon sucking pest management spray confidor 05mll of water,sucking pests  Spray 05 ml Imidachloprid 178 SL  lit water,0.763924
Lemon,canker,TAMILNADU,Copper oxychloride (COC) 03 is done followed by 4 sprayings with Streptocyclin100 ppm  COC 15 kgha,recommended for the spray of Copper oxychloride 2 gram in 1 lite of water at fortnight intervals,recommended for spraying copper oxy chloride 3 gram  streptomycin sulphate 1 gra  litre of water,recommended for spray agrimycin (Streptomycin sulphate) 1g  sticking agent 1ml1 litre of water,Recommended for spray sprayings with Streptocyclin100 ppm  COC 15 kgha at monthly intervals,0.440064
Lemon,white fly,RAJASTHAN,SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,USE CHLOROPYRIFOS 20 EC 40 ML PER PALNT WITH IRRIGATION,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER,5.807935
Lemon,canker,RAJASTHAN,SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER SPRAY SOLUBLE NPK  181818 GRADE 10 GMLTR WATER,SPRAY OF COPER OXICHLORIDE 3 GM PER LITER WATER FOR CONTROL OF CITRUS CANKER IN LEMON,SPRAY OF ACEFET30 GRAM  COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 2 GM PER LTR   STREPTOCYCLIN 2 GM PER 15 LITER WATER,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER TANKI (15 LITER),2.682642
Lentil (Masur),fungus,MADHYA PRADESH,profenofas40caiparmathrin4 40 ml pump spree  fungus control manko jeb em 45 03 spree use,   70 wp 25         2       or           5     50                        ,             EC    300400                70 wp 25    2     15        ,               70 WP  25      (    IP       IP )        15       I,Ans Drenching  spray carbandazim  mancozeb 30gm 15 liter of water,3.388398
Lentil (Masur),yellowing,BIHAR,sprey of ureazinc10gmultimicronutrient2mllit water for control of yellowing of leaves of mansur,spray multimicronutrient 2 ml  litre water nowspray mancozeb2gl of water after full flowering,YELLOWING OF LENTILSPRAY MANCOZEB 75 WP(DITHANE M45 OR INDOFIL M45)  2 GM PER LITRE OF WATER,SPRAY COPPEROXYCLORIDE  2ML IN 1 LITRE  STREPTOCYCLINE 1 ML IN 15 LITRE OF LITRE OF WATER,spray quinalphos 2 ml  litre pani me SPRAY  MANCOZEB  75  carbendazim 2 GRAM  LITRE WATER,0.81813
Lentil (Masur),thrips,MAHARASHTRA,Spray Actra 5 gm15 Liter of Water (Thiomithoxom 25)Syngenta,SPRAY KARATE 20 ML15 LITERS OF WATER (Lambdacyhalothrin ),SPRAY KARATE 20 ML15 LITERS OF WATER (Lambdacyhalothrin ),SPRAY KARATE 20 ML15 LITERS OF WATER (Lambdacyhalothrin ),SPRAY KARATE 20 ML15 LITERS OF WATER (Lambdacyhalothrin ),0.422606
Lentil (Masur),aphid,MADHYA PRADESH,control of aphid attack in masur crop Spray of Dimethoate 30 EC (Rogar)30 ml per 16 litre of water,control of aphid attack in masur crop Spray of Dimethoate 30 EC (Rogar)30 ml per 16 litre of water,Recommended for to control sucking pest in lentil  crop spray fipronil 25 ml at 15 liter of water,Recommended for spray of imidaclorprid 178 SL 5 to 6 ml at 15 liter of water control of white fly,recommended for to control sucking pest in  crop spray imedachlorprid 57 ml at 15 liter of water,2.93419
Lentil (Masur),sucking pest,MADHYA PRADESH,Recommended for to control sucking pest in crop spray fipronil (Regent)  25 ml at 15 liter of water,Recommended for to control sucking pest in crop spray fipronil (Regent)  25 ml at 15 liter of water,Recommended for to control sucking pest in crop spray fipronil (Regent)  25 ml at 15 liter of water,               40   40   8   15                  (  )                   49 Cs    50    20          ,for spray of imidaclorprid 178 SL 5 to 6 ml at 15 liter of water control of suking pest in URD crop,10.033779
Lettuce,blast,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.444763
Lettuce,caterpiller,HIMACHAL PRADESH,control leaf caterpiller in Lettuce  are spray cypermethilin  1 ml litre of water ,No answer,No answer,No answer,No answer,0.33261
Lettuce,fungus,MAHARASHTRA,attack of fungus on methiSpray M45 30 gm 15 liter water(Mancozeb 75 WP) INDOFIL,No answer,No answer,No answer,No answer,0.416803
Lettuce,jassids,MAHARASHTRA,No answer,No answer,No answer,No answer,No answer,0.410343
Lettuce,blast,WEST BENGAL,SPRAY PROPICONAZOLE  075 GMLIT OF WATER,No answer,No answer,No answer,No answer,0.351682
Linseed (alsi),Anthracnose,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.587695
Linseed (alsi),stem blight,MADHYA PRADESH,No answer,No answer,No answer,No answer,No answer,0.76255
Linseed (alsi),Powdery mildew,ODISHA,RECOMMENDED TO SPRAY WITH SULFEX 2GLTR,No answer,No answer,No answer,No answer,0.378497
Linseed (alsi),rust,UTTAR PRADESH,No answer,No answer,No answer,No answer,No answer,0.460161
Linseed (alsi),wilt,MADHYA PRADESH,spot drenching with carbendazim  1gmlitre of water to control fusarium wilt in linseed, ()                                                                           ,Ans Sprey Hexaconazole 25ml  kasugamycin 15ml per 15 liter of water,Spray mancozebcarbandazim OR  Coperoxycloried 3040gpump,Mencozeb  Carbindazim (Saaf or  sixer) 30 g pump,0.458475
Litchi,fruit rot,UTTARAKHAND,No answer,No answer,No answer,No answer,No answer,0.433311
Litchi,termite,BIHAR,APPLY THEMATE IN ROOTS  50 GM PER PLANT,apply thimate 10gmplant,No answer,No answer,No answer,0.499797
Litchi,root rot,WEST BENGAL,APNI COPPER OXYCHLORIDE 50 WP  4 GRAM PROTY LITER JOLER SATHE PRAYOG KORBEN ,SPRAY COPPER OXYCHLORIDE 50 WP  4 GMLITTER OF WATER,No answer,No answer,No answer,0.767205
Litchi,anthracnose,WEST BENGAL,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   15 GM   LIT OF WATER,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63 (75 WP)   2 GM   LIT OF WATER,RECOMMENDED FOR SPRAY CARBENDAZIM 12  MANCOZEB 63  15  2 GM  LIT OF WATER,RECOMMENDED FOR SPRAY CARBANDAZIM 12  MANCOZEB 63 WP  2GM LIT OF WATER,RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50 WP   4 GM  LITER OF WATER,0.676365
Litchi,fruit rot,BIHAR,SPRAY CUPPEROXYCHLORIDE   2 G  LITRE WATER,No answer,No answer,No answer,No answer,0.618123
Little Millet (SamaiKutkikodokutki),caterpillar,MAHARASHTRA,ATTACK OF LEAF EATING CATERPILLAR Spray of Quinolphos 30 ml  15 liter water, CATTERPILLAR ATTACK ON  MAIZESPRAYPROCLAIM5 GRAM PER 15  LITRES OF WATER,Spray Profex Super 30 ml  15 lit of water,Spray Profex Super 30 ml  15 lit of water,Spray Nuwan 15ml 15Lit of Water,0.419814
Little Millet (SamaiKutkikodokutki),termites,HARYANA,4050 ml chloropyriphos in 5 liter water  plant ,No answer,No answer,No answer,No answer,0.348684
Little Millet (SamaiKutkikodokutki),wilt,MAHARASHTRA,       191919 3      (   80 ww)                ,Spray M45 30 gm15 Lit of Water,No answer,No answer,No answer,0.414825
Little Millet (SamaiKutkikodokutki),head smut,ANDHRA PRADESH,No answer,No answer,No answer,No answer,No answer,0.35786
Little Millet (SamaiKutkikodokutki),sucking pest,GUJARAT,Suggested Dimethoate (Rogar) 30 EC 20 mlpump spray Suitable for young crops,Traizophos 30 ml  10 lit water,No answer,No answer,No answer,0.341117
Long Melon,red beetle,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.740346
Long Melon,sucking pest,TAMILNADU,Recommended for spray Thiamethoxam 4 g10 litre of water,recommended for the spray   fibronil  2 ml lit of water,Recommended for spray neem oil 3 ml  litre of water,No answer,No answer,0.37569
Long Melon,canker,RAJASTHAN,No answer,No answer,No answer,No answer,No answer,0.525113
Long Melon,white fly,UTTAR PRADESH,spray dimethoate15 mllitre of water for white fky in long melon,No answer,No answer,No answer,No answer,0.531462
Long Melon,leaf curl,UTTAR PRADESH,spray of  Thiomethoxam 25 WG 80 gram  150 litre water,spray of Imidachloprid 178 SL100 ml acre,No answer,No answer,No answer,0.524957
Lucerne (Alfalfa),aphid,MAHARASHTRA,Spray Alika 8 ml  15 lit of water  (Thiamethoxam (126)  Lambdacyhalothrin (95) ZC )Syngenta,Lancer Gold 518 SP 30 GMm 45 30 gm 15 LITERS OF WATER (Acephate 50  Imidacloprid 18 SP) UPL,Lancer Gold 518 SP 30 GMm 45 30 gm 15 LITERS OF WATER (Acephate 50  Imidacloprid 18 SP) UPL,Lancer Gold 518 SP 30 GMm 45 30 gm 15 LITERS OF WATER (Acephate 50  Imidacloprid 18 SP) UPL,APHIDS ON LUCERN  Spray Roger 15 ml Bavistine 30gm15 Liter of Water(Dimethoate)Cheminova,0.466004
Lucerne (Alfalfa),sucking pests,GUJARAT,Suggested profenofos 40  cypermethrin 4 (mix available in market) 15 mlpump spray,Suggested profenofos 40  cypermethrin 4 (mix available in market) 15 mlpump spray,Suggested profenofos 40  cypermethrin 4 (mix available in market) 15 mlpump spray,Suggested profenofos 40  cypermethrin 4 (mix available in market) 15 mlpump spray,           (  ) 40      (   ppm   )                     (      )               ,0.772819
Lucerne (Alfalfa),downy mildew,RAJASTHAN,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 15 GM PER 15 LITER WATER,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,1.944135
Lucerne (Alfalfa),caterpillar,MAHARASHTRA,Spray Missile 7 gm15 liter water (Emamectin Benzoate 5 SG) Crystal Crop Protection,Spray Profex super 30 ml15 liter water( Profenofos 40  Cypermethrin4 )Nagarjuna,Spray Profex super 30 ml15 liter water( Profenofos 40  Cypermethrin4 )Nagarjuna,Spray Profex super 30 ml15 liter water( Profenofos 40  Cypermethrin4 )Nagarjuna,Attack of Caterpillar on lucern spray SPRAY LARVICIDE 2 MILI  LITRE OF WATER,0.512685
Lucerne (Alfalfa),rust,RAJASTHAN,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER,SPRAY OF KERATHIAN 1 MLLITER WATER,No answer,No answer,No answer,0.779269
Maize (Makka),rust,TAMILNADU,corm worm in maize  dust carbaryl 10D 10kgac spray potasssium sulphate 10gmlit of water,corm worm in maize  dust carbaryl 10D 10kgac spray potasssium sulphate 10gmlit of water,recommended for maize rust management tebucanazole 25 ml  litre of water,recommended for spray SAAF (mancozeb  carbendazim) 2 gm lit of water,recommended for spray carbendazim  mancozeb 2 gram liter of water,0.853163
Maize (Makka),catterpillar,MAHARASHTRA,ATTACK OF CATERPILLAR ON MAIZE  CONTROLSPRAY Dichlorvos 76 EC ( NUVAN )  20 ML  15 LITERS OF WATER , THE CATERPILLAR ATTACK ON MAIZESpray Proclaim 5 gm15lit of Water (Emamectin Benzoate 5 SG)Syngenta, THE CATERPILLAR ATTACK ON MAIZE Spray Proclaim 5gm15lit of Water (Emamectin Benzoate 5 SG)Syngenta,LEAF EATING CATERPILLAR   Spray Profex super 30 ml15 liter water ( Profenofos 40  Cypermethrin4 ) ,attack of caterpiller on maize  Spray Proclaim 07 gm15 liter of Water(Emamectin Benzoate)Syngenta,4.333857
Maize (Makka),fungus,BIHAR,Technical Name  Metalaxyl 35 WSMode Of Action  SystemicCrops  Maize Bajra,Spray with Metalaxyl 1glit or Metalaxyl  Mancozeb  25 glit,spray copperoxycholoride  mancozib  25 gm  lit of water,SPRAY COPPEROXYCHOLORIDE  25 GM  LIT OF WATER,SPRAY COPPEROXYCHOLORIDE  25 GM  LIT OF WATER,1.348581
Maize (Makka),blight,MADHYA PRADESH,Spray Mancozeb or Zineb 24 glitre at 10 days interval after first appearance of the diseas,Spoon coughSmall spheres  elliptic brown brown spots are formedZinem  minib25  4g  l,spray mencojeb  carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water,Recommended of Saaf powder (Carbendazim 12  Mancozeb 63) WP 40 gmpump,Recommended of Saaf powder (Carbendazim 12  Mancozeb 63) WP 40 gmpump,2.367286
Maize (Makka),stem borer,TAMILNADU,Recommended for application of Prophenophos 2 ml  Neem oil 3 ml  teepol 1 ml per litter of water,Query Stem borer management in Maize Answer Recommended to spray Fipronil 2 ml  liter of water ,Recommended for spray Dimethoate 30 EC  2ml  neem oil3ml  sticking agent05 ml1 litre of water,Recommended for spray profenophos 2 ml  neem oil 3 ml  sticking agent 1 ml  litre of water,recommended for spray Chlorpyriphos 2ml  neem oil3ml  sticking agent05 ml 1 litre of water,1.948939
Mango,Powdery mildew,BIHAR,spray with Wettable sulphur (02) (or) Carbendazim (01)(or) Tridemorph ( 01)(or) Karathane (01),Powdery mildewSpray inorganic sulphur 025 or Dinocap 01 3 or 4 times at 15 days interval,Application of Sulphur dust (350 mesh) in the early morning will protect new flush,spray karathane  1 ml per 2 litre water or wettable sulphur  3 gm per litre water,           I       15        25   300         I                  15          I ,7.998583
Mango,anthracnose,BIHAR,Preharvest spraying of Mancozeb 2glit or Carbendazim 1glit 3 times at 1015 days interval,Preharvest spraying of Mancozeb 2glit or Carbendazim 1glit Anthracnose and stalk endrot,Anthracnose and stalk endrotPreharvest spraying of Mancozeb 2glit or Carbendazim 1glit,spraying of Mancozeb 2glit or Carbendazim 1glit or copperoxy chloride 2gmlit water,Spray monocrotophos  2 mlliter of waterspray mancozeb  2 gramliter of water,4.745873
Mango,wilt,JHARKAND,                          200   500   500    3      I,mencozeb  2gmlitredr a jha 9835512202,  1  1            ,No answer,No answer,0.606434
Mango,rust,UTTAR PRADESH,Kisan Bhai You can make copper oxychloride 50 WP  50 WP 23 grams  liters of water and make a spray,Copper Oxychloride 50 WP 25 gram  litre  prayog karen  01 gram streptocyline  litre bhi milaayen,aap Copper Oxychloride 50 WP ki 2 ml matra ko prati liter paani ki dar se milaker spray kar de,kisan bhai aap aam me Copper oxychloride 2 gram dva prati litre pani  me milakar spray kare ,Copper Oxychloride 50 WP 3 gramlitar pani  Profenophos 40 Cypermethrin 4 EC 25 mllitar pani,5.773925
Mango,canker,UTTAR PRADESH,spray Copper Oxychloride 50 WP 25 gramliter  Streptocycline 1 10 litre of water,No answer,No answer,No answer,No answer,7.840671
Marigold,damping off,UTTAR PRADESH,Dear former use to Sulphur 80 WDG 4gliter water splash in the field,Copper Oxychloride 50 WP 2 gmlitar pani ke sath spray kren,       Copper oxychloride 50  WP  400    200        ,Bavisitin 1 gram  liter paani me spray kare ,SPRAY MANCOZEB  2 GMLITOF WATER,1.613221
Marigold,thrips,ODISHA,Onion ThripsRecommended to spray Profenophos 50 EC 15ml15 liters of water to control Onion Thrips,RECOMMENDED TO SPRAY DIMETHOATE 30 EC 2 ML1 LITER OF WATER OR FIPRONIL 5 SC 15 ML1 LITER OF WATER,Recommended for spray Fipronil 15ml per litre of water to control thrips infestation in marigold,Recommended to spray Fipronil 15ml per litre of water to control Thrips infestation in Marigold,RECOMMENDED TO SPRAY FIPRONIL 5 SC 2 ML1 LITER OF WATER OR ABAMECTIN 18 EC 1 ML1 LITER OF WATER,0.582282
Marigold,aphid,ODISHA,Recommended to spray  Imidachloprid 178 SL5 ml in 15 liter of water to control Aphids in Marigold,Recommended to spray Dimethoate 30 EC 2ml per litre of water to control Aphids in marigold,RECOMMENDED TO SPRAY OXYDEMETON METHYL 15 ML PER LITRE WATER TO CONTROL APHIDS IN MARIGOLD,RECOMMENDED SPRAY DIMETHOATE(ROGOR)2MLLITRE WATER FOR CONTROL OF APHID ATTACK IN MARIGOLD,RECOMMENDED TO SPRAY IMIDACLOPRID 178SL 5ML15 LITRES WATER TO CONTROL APHIDS IN MERIGOLD,0.566343
Marigold,caterpillar,MAHARASHTRA,Caterpillar on MarigoldSpray Profex super 20 ml15 liter of water(Profenofos Cypermethrin)Nagarjuna,spray chloropyriphos 30 ml  M45 30 gm   15 litter of water for controlling caterpillar on marigold,Caterpillar on MarigoldSpray Profex super 20 ml15 liter of water(Profenofos Cypermethrin)Nagarjuna,Caterpillar on MarigoldSpray Profex super 20 ml15 liter of water(Profenofos Cypermethrin)Nagarjuna,Attack of Caterpillar on marigoldSpray Proclaim 5ml15 liter of Water(Emamectin Benzoate)Syngenta,1.033933
Marigold,blight,TRIPURA,ADVISED TO SPRAY INDOFIL M 45  2 GRAM  LITER WATER,No answer,No answer,No answer,No answer,0.339048
Melon,white fly,UTTAR PRADESH,Kisan bhai ap Quinalphos 25 EC  2 mililitr panee ki dar se ghol banakar chhidkaw kare,No answer,No answer,No answer,No answer,0.613924
Melon,mosaic,HARYANA,spray of melathion  300 ml in 200 litre water per acre,spray malathion  400 ml in 200 litre of wateracre,No answer,No answer,No answer,0.368616
Melon,white fly,GUJARAT,Suggested  Dinotefuran 20 SG  7 gmpump spray Osheen  POLO Very costly,Suggested Triazophos 40 EC 30 mlpump spray  suitable for young crop ,Suggested Triazophos 40 EC 30 mlpump spray  suitable for young crop ,Suggested Triazophos 40 EC 30 mlpump spray  suitable for young crop ,Suggested Triazophos 40 EC 30 mlpump spray  suitable for young crop ,0.506273
